Assay Categories	DeepSEA Testing Data	CARMEN Testing Data
Transcription Factor Binding	0.852897651	0.896613454
Transcription Factor Binding	0.888804288	0.933815584
Transcription Factor Binding	0.812811146	0.94109781
Transcription Factor Binding	0.878523062	0.901340752
Transcription Factor Binding	0.927036043	0.979735761
Transcription Factor Binding	0.891913735	0.958753167
Transcription Factor Binding	0.895105886	0.937861073
Transcription Factor Binding	0.80147803	0.89040501
Transcription Factor Binding	0.895070577	0.955268136
Transcription Factor Binding	0.800298511	0.888563926
Transcription Factor Binding	0.879264751	0.892690824
Transcription Factor Binding	0.976931968	0.982423755
Transcription Factor Binding	0.88109922	0.951960357
Transcription Factor Binding	0.857224365	0.955879369
Transcription Factor Binding	0.863976612	0.949510789
Transcription Factor Binding	0.926074538	0.95885073
Transcription Factor Binding	0.93762226	0.975452877
Transcription Factor Binding	0.887399966	0.929119953
Transcription Factor Binding	0.929166254	0.980089999
Transcription Factor Binding	0.789045982	0.934083419
Transcription Factor Binding	0.957022657	0.960727462
Transcription Factor Binding	0.955163542	0.97416829
Transcription Factor Binding	0.887989818	0.957160896
Transcription Factor Binding	0.78865366	0.860369012
Transcription Factor Binding	0.9284049	0.971915378
Transcription Factor Binding	0.947370777	0.946635256
Transcription Factor Binding	0.872316652	0.98633107
Transcription Factor Binding	0.853765213	0.927549058
Transcription Factor Binding	0.861215858	0.911494954
Transcription Factor Binding	0.903941431	0.970965878
Transcription Factor Binding	0.729169467	0.866995954
Transcription Factor Binding	0.762394642	0.795943357
Transcription Factor Binding	0.887587708	0.933487571
Transcription Factor Binding	0.979027024	0.993896211
Transcription Factor Binding	0.985149983	0.992769244
Transcription Factor Binding	0.838786716	0.966875583
Transcription Factor Binding	0.955345026	0.939606451
Transcription Factor Binding	0.926323202	0.975105863
Transcription Factor Binding	0.889640393	0.978210071
Transcription Factor Binding	0.911519012	0.947341737
Transcription Factor Binding	0.927558263	0.957692478
Transcription Factor Binding	0.979651067	0.953367844
Transcription Factor Binding	0.938365142	0.970582274
Transcription Factor Binding	0.916277794	0.841360202
Transcription Factor Binding	0.867480935	0.941286484
Transcription Factor Binding	0.845947653	0.936048728
Transcription Factor Binding	0.945161027	0.97844558
Transcription Factor Binding	0.983781833	0.972199689
Transcription Factor Binding	0.940144962	0.965369896
Transcription Factor Binding	0.93646625	0.605197172
Transcription Factor Binding	0.841960906	0.895874587
Transcription Factor Binding	0.878254798	0.949640819
Transcription Factor Binding	0.88077828	0.914682659
Transcription Factor Binding	0.72329022	0.877547823
Transcription Factor Binding	0.810596748	0.836134056
Transcription Factor Binding	0.861090617	0.956304476
Transcription Factor Binding	0.903440544	0.961951839
Transcription Factor Binding	0.773944929	0.878364079
Transcription Factor Binding	0.904305583	0.991564542
Transcription Factor Binding	0.862330513	0.904595152
Transcription Factor Binding	0.844067798	0.964920146
Transcription Factor Binding	0.720930451	0.827062735
Transcription Factor Binding	0.954334657	0.984553657
Transcription Factor Binding	0.940186375	0.996794872
Transcription Factor Binding	0.870631158	0.956104707
Transcription Factor Binding	0.914367962	0.864296629
Transcription Factor Binding	0.967301793	0.864753577
Transcription Factor Binding	0.880550692	0.958964704
Transcription Factor Binding	0.941618331	0.973420264
Transcription Factor Binding	0.903421188	0.950267908
Transcription Factor Binding	0.930022548	0.932938096
Transcription Factor Binding	0.865313488	0.935435992
Transcription Factor Binding	0.942325728	0.987061961
Transcription Factor Binding	0.879778684	0.957031185
Transcription Factor Binding	0.808476221	0.9221628
Transcription Factor Binding	0.916071478	0.953901224
Transcription Factor Binding	0.929138065	0.94605182
Transcription Factor Binding	0.906625041	0.97369154
Transcription Factor Binding	0.903385282	0.955395759
Transcription Factor Binding	0.87205615	0.937381984
Transcription Factor Binding	0.923904525	0.963124944
Transcription Factor Binding	0.910689303	0.971609486
Transcription Factor Binding	0.90134527	0.896340108
Transcription Factor Binding	0.936840967	0.976576835
Transcription Factor Binding	0.814648246	0.923599627
Transcription Factor Binding	0.888504884	0.969572299
Transcription Factor Binding	0.762566317	0.794816191
Transcription Factor Binding	0.871972681	0.982303274
Transcription Factor Binding	0.866499407	0.959504332
Transcription Factor Binding	0.947418511	0.974733165
Transcription Factor Binding	0.711850236	0.840863964
Transcription Factor Binding	0.882291599	0.969190428
Transcription Factor Binding	0.896948095	0.978248829
Transcription Factor Binding	0.7888314	0.899171093
Transcription Factor Binding	0.884699018	0.982511157
Transcription Factor Binding	0.9536692	0.982551937
Transcription Factor Binding	0.972842948	0.978600653
Transcription Factor Binding	0.867706331	0.933240786
Transcription Factor Binding	0.886436116	0.961121182
Transcription Factor Binding	0.868076318	0.953365244
Transcription Factor Binding	0.973008229	0.984712517
Transcription Factor Binding	0.682517909	0.78935439
Transcription Factor Binding	0.91944442	0.9811143
Transcription Factor Binding	0.942668298	0.963988534
Transcription Factor Binding	0.967488247	0.984293421
Transcription Factor Binding	0.945976767	0.953526378
Transcription Factor Binding	0.929419802	0.887231842
Transcription Factor Binding	0.953854773	0.990758586
Transcription Factor Binding	0.951797181	0.968903507
Transcription Factor Binding	0.929947275	0.936926136
Transcription Factor Binding	0.93855366	0.813850317
Transcription Factor Binding	0.747199787	0.668915175
Transcription Factor Binding	0.796481096	0.987698476
Transcription Factor Binding	0.822687934	0.924962425
Transcription Factor Binding	0.88943137	0.91900961
Transcription Factor Binding	0.92031237	0.981166749
Transcription Factor Binding	0.841323553	0.931286198
Transcription Factor Binding	0.914730675	0.947386879
Transcription Factor Binding	0.719538989	0.888276975
Transcription Factor Binding	0.932729735	0.965434622
Transcription Factor Binding	0.882842302	0.943040184
Transcription Factor Binding	0.813109444	0.969031205
Transcription Factor Binding	0.927515199	0.969297698
Transcription Factor Binding	0.956121694	0.921185502
Transcription Factor Binding	0.919671122	0.96270332
Transcription Factor Binding	0.914921581	0.974949554
Transcription Factor Binding	0.893305058	0.989487725
Transcription Factor Binding	0.850807385	0.93308067
Transcription Factor Binding	0.930126649	0.982199188
Histone Markers	0.684013909	0.735296488
Histone Markers	0.827334061	0.882154622
Histone Markers	0.760423269	0.822016675
Histone Markers	0.681430318	0.737051199
Histone Markers	0.803360637	0.844723365
Histone Markers	0.670280483	0.739511142
Histone Markers	0.738152763	0.717186837
Histone Markers	0.638200176	0.670659934
Histone Markers	0.678778393	0.724522299
Histone Markers	0.781025259	0.809859055
Histone Markers	0.773400097	0.810994704
Histone Markers	0.637541174	0.650417313
Histone Markers	0.822898393	0.872356355
Histone Markers	0.732589561	0.704602181
Histone Markers	0.635004647	0.661733743
Histone Markers	0.678263121	0.433987366
Histone Markers	0.711430212	0.778359567
Histone Markers	0.769914397	0.744486069
Histone Markers	0.657405007	0.761843974
Histone Markers	0.758387965	0.807116847
Histone Markers	0.847015723	0.835518206
Histone Markers	0.643155369	0.651103092
Histone Markers	0.816936131	0.858255584
Histone Markers	0.722248341	0.688670379
Histone Markers	0.841199627	0.897701275
Histone Markers	0.721748214	0.790297842
Histone Markers	0.788529055	0.827786352
Histone Markers	0.831961298	0.844628209
Histone Markers	0.677682719	0.791747108
Histone Markers	0.752704581	0.781590805
Histone Markers	0.878467678	0.863133774
Histone Markers	0.658309761	0.699038938
Histone Markers	0.883767776	0.91234244
Histone Markers	0.851291401	0.623528682
Histone Markers	0.808329419	0.775647054
Histone Markers	0.718297997	0.797060355
Histone Markers	0.824401921	0.900201166
Histone Markers	0.864370581	0.902972459
Histone Markers	0.778787543	0.85739926
Histone Markers	0.795817302	0.894364591
Histone Markers	0.833773985	0.899424046
Histone Markers	0.799808724	0.891113142
Histone Markers	0.824535465	0.855108104
Histone Markers	0.911635328	0.909992212
Histone Markers	0.757417977	0.789575765
Histone Markers	0.825110226	0.827218336
Histone Markers	0.696339535	0.6292661
Histone Markers	0.780041914	0.872500128
Histone Markers	0.783411191	0.819205553
Histone Markers	0.825083286	0.855850914
Histone Markers	0.917157356	0.869244574
Histone Markers	0.851262107	0.892175297
Histone Markers	0.818143796	0.868305598
Histone Markers	0.72389415	0.805794537
Histone Markers	0.880515477	0.92011487
Histone Markers	0.746887188	0.637396042
Histone Markers	0.820638754	0.864821996
Histone Markers	0.760050706	0.795086944
Histone Markers	0.90921486	0.958882736
Histone Markers	0.735439194	0.675798737
Histone Markers	0.774024627	0.824019454
Histone Markers	0.747325465	0.834129736
Histone Markers	0.802912308	0.856828772
Histone Markers	0.690975879	0.743291211
Histone Markers	0.687575785	0.672678077
Histone Markers	0.783064361	0.840735895
Histone Markers	0.789511271	0.845313235
Histone Markers	0.673502644	0.65346272
Histone Markers	0.775866123	0.75481406
Histone Markers	0.742481437	0.76977862
Histone Markers	0.789871934	0.866724939
Histone Markers	0.68059395	0.742521574
Histone Markers	0.82081661	0.869854455
Histone Markers	0.70717792	0.799307816
Histone Markers	0.817249598	0.872016171
Histone Markers	0.651208607	0.694607814
Histone Markers	0.745563159	0.829467359
Histone Markers	0.795764818	0.845317486
Histone Markers	0.656876131	0.708150071
Histone Markers	0.711979897	0.739991145
Histone Markers	0.658578942	0.683495632
Histone Markers	0.639975913	0.716232663
Histone Markers	0.736592599	0.778832994
Histone Markers	0.817874216	0.873096577
Histone Markers	0.647377875	0.680693688
Histone Markers	0.733787912	0.754085407
