Assay Catagories	CARMEN-Annotations	DeepSEA	DeepSEA-Downsampling
Transcription Factor Binding	0.986737851	0.986033679	0.966318028
Transcription Factor Binding	0.992095451	0.99107002	0.951950084
Transcription Factor Binding	0.962571329	0.96120623	0.930906587
Transcription Factor Binding	0.95322083	0.951517191	0.968497495
Transcription Factor Binding	0.951888343	0.948906184	0.949870807
Transcription Factor Binding	0.951486086	0.950010504	0.984080816
Transcription Factor Binding	0.960582814	0.957453008	0.948135879
Transcription Factor Binding	0.933085733	0.930859483	0.943945578
Transcription Factor Binding	0.991352434	0.988331069	0.982854831
Transcription Factor Binding	0.96694608	0.963908335	0.942321647
Transcription Factor Binding	0.98881489	0.985768313	0.960425723
Transcription Factor Binding	0.993219197	0.988277636	0.92445257
Transcription Factor Binding	0.968425051	0.96506466	0.936147238
Transcription Factor Binding	0.994230702	0.988394464	0.973178354
Transcription Factor Binding	0.984250006	0.97843466	0.952111838
Transcription Factor Binding	0.969558935	0.964481926	0.960626565
Transcription Factor Binding	0.950655733	0.948215404	0.938238284
Transcription Factor Binding	0.982681394	0.977988324	0.878305897
Transcription Factor Binding	0.960992484	0.95609869	0.974798967
Transcription Factor Binding	0.981866906	0.976169465	0.959786531
Transcription Factor Binding	0.931525411	0.927338626	0.939948549
Transcription Factor Binding	0.929110369	0.924078021	0.975133834
Transcription Factor Binding	0.980686641	0.9755044	0.955968925
Transcription Factor Binding	0.996429045	0.989923324	0.962551413
Transcription Factor Binding	0.983193823	0.976796245	0.959503578
Transcription Factor Binding	0.94527845	0.939281483	0.980067907
Transcription Factor Binding	0.988508031	0.982220392	0.911260673
Transcription Factor Binding	0.980774451	0.975171221	0.952578323
Transcription Factor Binding	0.987138175	0.980068363	0.986083601
Transcription Factor Binding	0.974856257	0.968996752	0.966778121
Transcription Factor Binding	0.972475042	0.966194552	0.974907886
Transcription Factor Binding	0.980536583	0.974433524	0.971105367
Transcription Factor Binding	0.988601932	0.98151416	0.967631261
Transcription Factor Binding	0.97980329	0.972705412	0.954236538
Transcription Factor Binding	0.988781207	0.982504366	0.943125165
Transcription Factor Binding	0.990135488	0.983206523	0.939388621
Transcription Factor Binding	0.990183995	0.98281473	0.987047521
Transcription Factor Binding	0.995491509	0.987961857	0.936076465
Transcription Factor Binding	0.987029269	0.979757933	0.960407848
Transcription Factor Binding	0.991318197	0.983452523	0.95498836
Transcription Factor Binding	0.974694091	0.967552972	0.954467996
Transcription Factor Binding	0.946174197	0.938348496	0.947676995
Transcription Factor Binding	0.979085306	0.970549293	0.975605845
Transcription Factor Binding	0.981847667	0.973415421	0.939379358
Transcription Factor Binding	0.957055815	0.950510123	0.948640669
Transcription Factor Binding	0.978550662	0.970675427	0.942217825
Transcription Factor Binding	0.969032495	0.962067709	0.985787937
Transcription Factor Binding	0.993535905	0.984834186	0.97900998
Transcription Factor Binding	0.994149786	0.985172767	0.983157175
Transcription Factor Binding	0.97406115	0.96530837	0.96916267
Transcription Factor Binding	0.966564787	0.958718248	0.955510579
Transcription Factor Binding	0.978558585	0.970076098	0.964392446
Transcription Factor Binding	0.982052196	0.973089523	0.964059328
Transcription Factor Binding	0.909484072	0.900132328	0.953009512
Transcription Factor Binding	0.991078466	0.982048618	0.866533651
Transcription Factor Binding	0.990963804	0.98146852	0.948340335
Transcription Factor Binding	0.988183728	0.978608357	0.99234375
Transcription Factor Binding	0.982293908	0.985723035	0.960589283
Transcription Factor Binding	0.994228846	0.98470109	0.928997159
Transcription Factor Binding	0.986077859	0.976131175	0.957579552
Transcription Factor Binding	0.985736752	0.97537436	0.974379539
Transcription Factor Binding	0.960392605	0.950666732	0.974968763
Transcription Factor Binding	0.994450652	0.98390459	0.970405802
Transcription Factor Binding	0.99368	0.982911581	0.95750252
Transcription Factor Binding	0.991811818	0.981451777	0.946333753
Transcription Factor Binding	0.919154975	0.91620714	0.911141957
Transcription Factor Binding	0.979668549	0.970228644	0.918694537
Transcription Factor Binding	0.990627942	0.97943824	0.951846974
Transcription Factor Binding	0.984686586	0.973276768	0.970375884
Transcription Factor Binding	0.919082307	0.911404453	0.991229219
Transcription Factor Binding	0.97005418	0.958270991	0.972004472
Transcription Factor Binding	0.977224733	0.965011761	0.943883392
Transcription Factor Binding	0.987160314	0.974790176	0.973422783
Transcription Factor Binding	0.99529859	0.982516349	0.885916188
Transcription Factor Binding	0.979523435	0.967588379	0.917529397
Transcription Factor Binding	0.969784488	0.95735067	0.988257637
Transcription Factor Binding	0.977445953	0.965006155	0.914634429
Transcription Factor Binding	0.955344243	0.942727504	0.975264119
Transcription Factor Binding	0.982599258	0.970338458	0.983335967
Transcription Factor Binding	0.983768993	0.971372911	0.953557511
Transcription Factor Binding	0.98903197	0.97621061	0.969254238
Transcription Factor Binding	0.961115096	0.948779038	0.959191239
Transcription Factor Binding	0.984372261	0.971816478	0.922639583
Transcription Factor Binding	0.987422932	0.974008375	0.907312755
Transcription Factor Binding	0.980188738	0.966720448	0.946697474
Transcription Factor Binding	0.990674737	0.978374342	0.96771538
Transcription Factor Binding	0.954349964	0.94348497	0.911372719
Transcription Factor Binding	0.967225915	0.954535075	0.861376255
Transcription Factor Binding	0.986033308	0.972486883	0.971265573
Transcription Factor Binding	0.970582514	0.960741366	0.65254641
Transcription Factor Binding	0.957124758	0.944047109	0.98779116
Transcription Factor Binding	0.950655427	0.937250962	0.976969217
Transcription Factor Binding	0.962797241	0.948741631	0.939590212
Transcription Factor Binding	0.956920356	0.943008355	0.999671269
Transcription Factor Binding	0.994631083	0.979197733	0.891063416
Transcription Factor Binding	0.993135716	0.977368797	0.939018426
Transcription Factor Binding	0.963706994	0.950839028	0.967358059
Transcription Factor Binding	0.971123936	0.95579861	0.967866825
Transcription Factor Binding	0.954562325	0.942040607	0.916579726
Transcription Factor Binding	0.913672858	0.899905648	0.966171161
Transcription Factor Binding	0.994580778	0.977913227	0.957572932
Transcription Factor Binding	0.986930003	0.970400592	0.95212145
Transcription Factor Binding	0.993124509	0.97629226	0.937974048
Transcription Factor Binding	0.994328668	0.976938955	0.985874816
Transcription Factor Binding	0.98360547	0.966481725	0.985771484
Transcription Factor Binding	0.99147885	0.974563686	0.951433739
