Profile Categories	AUC
Transcription Factor Binding	0.89708608
Transcription Factor Binding	0.899396941
Transcription Factor Binding	0.903565809
Transcription Factor Binding	0.8964707
Transcription Factor Binding	0.898525652
Transcription Factor Binding	0.893956044
Transcription Factor Binding	0.899016868
Transcription Factor Binding	0.899745399
Transcription Factor Binding	0.900656494
Transcription Factor Binding	0.899492912
Transcription Factor Binding	0.901483929
Transcription Factor Binding	0.900844236
Transcription Factor Binding	0.9008925
Transcription Factor Binding	0.902409771
Transcription Factor Binding	0.905550162
Transcription Factor Binding	0.903090175
Transcription Factor Binding	0.904101959
Transcription Factor Binding	0.904631391
Transcription Factor Binding	0.902987985
Transcription Factor Binding	0.903408547
Transcription Factor Binding	0.905116345
Transcription Factor Binding	0.907294703
Transcription Factor Binding	0.905391503
Transcription Factor Binding	0.901881276
Transcription Factor Binding	0.906644657
Transcription Factor Binding	0.904961477
Transcription Factor Binding	0.906307525
Transcription Factor Binding	0.904912322
Transcription Factor Binding	0.904804454
Transcription Factor Binding	0.906093971
Transcription Factor Binding	0.905988727
Transcription Factor Binding	0.906125102
Transcription Factor Binding	0.906228344
Transcription Factor Binding	0.907192646
Transcription Factor Binding	0.906548427
Transcription Factor Binding	0.907060215
Transcription Factor Binding	0.905916208
Transcription Factor Binding	0.909347663
Transcription Factor Binding	0.90889652
Transcription Factor Binding	0.907028597
Transcription Factor Binding	0.909329053
Transcription Factor Binding	0.90792375
Transcription Factor Binding	0.906682688
Transcription Factor Binding	0.912156135
Transcription Factor Binding	0.909481246
Transcription Factor Binding	0.908989782
Transcription Factor Binding	0.909391518
Transcription Factor Binding	0.909690063
Transcription Factor Binding	0.913041148
Transcription Factor Binding	0.911151631
Transcription Factor Binding	0.912747601
Transcription Factor Binding	0.912213166
Transcription Factor Binding	0.914290151
Transcription Factor Binding	0.911556667
Transcription Factor Binding	0.911792091
Transcription Factor Binding	0.91355145
Transcription Factor Binding	0.913481975
Transcription Factor Binding	0.912043767
Transcription Factor Binding	0.91370188
Transcription Factor Binding	0.917038553
Transcription Factor Binding	0.913104256
Transcription Factor Binding	0.913290468
Transcription Factor Binding	0.913495564
Transcription Factor Binding	0.914678566
Transcription Factor Binding	0.915137572
Transcription Factor Binding	0.913978274
Transcription Factor Binding	0.914636423
Transcription Factor Binding	0.915279385
Transcription Factor Binding	0.915645687
Transcription Factor Binding	0.915541588
Transcription Factor Binding	0.915569829
Transcription Factor Binding	0.913656206
Transcription Factor Binding	0.915518778
Transcription Factor Binding	0.916423911
Transcription Factor Binding	0.916254288
Transcription Factor Binding	0.916160363
Transcription Factor Binding	0.916944236
Transcription Factor Binding	0.917947841
Transcription Factor Binding	0.921825285
Transcription Factor Binding	0.91586096
Transcription Factor Binding	0.916509221
Transcription Factor Binding	0.916593167
Transcription Factor Binding	0.917807718
Transcription Factor Binding	0.916167417
Transcription Factor Binding	0.917385254
Transcription Factor Binding	0.916526369
Transcription Factor Binding	0.917963877
Transcription Factor Binding	0.91836052
Transcription Factor Binding	0.918328096
Transcription Factor Binding	0.91829658
Transcription Factor Binding	0.91770226
Transcription Factor Binding	0.918784188
Transcription Factor Binding	0.923965883
Transcription Factor Binding	0.918791218
Transcription Factor Binding	0.91702863
Transcription Factor Binding	0.917781783
Transcription Factor Binding	0.919094758
Transcription Factor Binding	0.918350128
Transcription Factor Binding	0.918284685
Transcription Factor Binding	0.918013425
Transcription Factor Binding	0.917765822
Transcription Factor Binding	0.921545924
Transcription Factor Binding	0.918616431
Transcription Factor Binding	0.922603517
Transcription Factor Binding	0.918319977
Transcription Factor Binding	0.920131584
Transcription Factor Binding	0.920201274
Transcription Factor Binding	0.920523579
Transcription Factor Binding	0.927759877
Transcription Factor Binding	0.919757606
Transcription Factor Binding	0.919832426
Transcription Factor Binding	0.919704906
Transcription Factor Binding	0.920090954
Transcription Factor Binding	0.920309558
Transcription Factor Binding	0.920912137
Transcription Factor Binding	0.9203131
Transcription Factor Binding	0.921038064
Transcription Factor Binding	0.921452077
Transcription Factor Binding	0.917657719
Transcription Factor Binding	0.921236077
Transcription Factor Binding	0.921124253
Transcription Factor Binding	0.919989387
Transcription Factor Binding	0.922428256
Transcription Factor Binding	0.922070692
Transcription Factor Binding	0.922371773
Transcription Factor Binding	0.923318161
Transcription Factor Binding	0.921183595
Transcription Factor Binding	0.921471814
Transcription Factor Binding	0.921772356
Transcription Factor Binding	0.921690001
Transcription Factor Binding	0.922027645
Transcription Factor Binding	0.924271743
Transcription Factor Binding	0.926455696
Transcription Factor Binding	0.922101437
Transcription Factor Binding	0.922553323
Transcription Factor Binding	0.922440995
Transcription Factor Binding	0.921702962
Transcription Factor Binding	0.921990971
Transcription Factor Binding	0.92292495
Transcription Factor Binding	0.923686758
Transcription Factor Binding	0.923389038
Transcription Factor Binding	0.922465689
Transcription Factor Binding	0.927476415
Transcription Factor Binding	0.924322019
Transcription Factor Binding	0.923470654
Transcription Factor Binding	0.923299149
Transcription Factor Binding	0.924158592
Transcription Factor Binding	0.92386167
Transcription Factor Binding	0.926444758
Transcription Factor Binding	0.9262566
Transcription Factor Binding	0.924568331
Transcription Factor Binding	0.923801634
Transcription Factor Binding	0.924146498
Transcription Factor Binding	0.925979908
Transcription Factor Binding	0.924654893
Transcription Factor Binding	0.926267637
Transcription Factor Binding	0.924164943
Transcription Factor Binding	0.92466849
Transcription Factor Binding	0.924819276
Transcription Factor Binding	0.92554017
Transcription Factor Binding	0.924622394
Transcription Factor Binding	0.923856291
Transcription Factor Binding	0.925305909
Transcription Factor Binding	0.925766529
Transcription Factor Binding	0.925663236
Transcription Factor Binding	0.925505038
Transcription Factor Binding	0.925283574
Transcription Factor Binding	0.928310779
Transcription Factor Binding	0.942671395
Transcription Factor Binding	0.924828955
Transcription Factor Binding	0.925224821
Transcription Factor Binding	0.924833494
Transcription Factor Binding	0.925967616
Transcription Factor Binding	0.926749776
Transcription Factor Binding	0.926571114
Transcription Factor Binding	0.929361061
Transcription Factor Binding	0.925868566
Transcription Factor Binding	0.927439012
Transcription Factor Binding	0.926695496
Transcription Factor Binding	0.926720602
Transcription Factor Binding	0.92763757
Transcription Factor Binding	0.92764046
Transcription Factor Binding	0.929116465
Transcription Factor Binding	0.926880456
Transcription Factor Binding	0.928341477
Transcription Factor Binding	0.929080479
Transcription Factor Binding	0.92876911
Transcription Factor Binding	0.927859483
Transcription Factor Binding	0.928978149
Transcription Factor Binding	0.928633821
Transcription Factor Binding	0.928526932
Transcription Factor Binding	0.929354298
Transcription Factor Binding	0.928361025
Transcription Factor Binding	0.928021433
Transcription Factor Binding	0.929134759
Transcription Factor Binding	0.928879318
Transcription Factor Binding	0.930357612
Transcription Factor Binding	0.933645441
Transcription Factor Binding	0.929298856
Transcription Factor Binding	0.931404298
Transcription Factor Binding	0.929851727
Transcription Factor Binding	0.930306601
Transcription Factor Binding	0.929130829
Transcription Factor Binding	0.929465289
Transcription Factor Binding	0.931788633
Transcription Factor Binding	0.930242655
Transcription Factor Binding	0.930172307
Transcription Factor Binding	0.930196163
Transcription Factor Binding	0.930389947
Transcription Factor Binding	0.930448725
Transcription Factor Binding	0.930471129
Transcription Factor Binding	0.932452793
Transcription Factor Binding	0.930348761
Transcription Factor Binding	0.931244049
Transcription Factor Binding	0.930563075
Transcription Factor Binding	0.931820531
Transcription Factor Binding	0.931384859
Transcription Factor Binding	0.934638965
Transcription Factor Binding	0.931206515
Transcription Factor Binding	0.93144463
Transcription Factor Binding	0.931562789
Transcription Factor Binding	0.931039312
Transcription Factor Binding	0.931310185
Transcription Factor Binding	0.931384999
Transcription Factor Binding	0.931910267
Transcription Factor Binding	0.93191481
Transcription Factor Binding	0.934069423
Transcription Factor Binding	0.932893393
Transcription Factor Binding	0.933046862
Transcription Factor Binding	0.932765744
Transcription Factor Binding	0.932150979
Transcription Factor Binding	0.933566862
Transcription Factor Binding	0.932874122
Transcription Factor Binding	0.932540501
Transcription Factor Binding	0.932794807
Transcription Factor Binding	0.933282949
Transcription Factor Binding	0.932465187
Transcription Factor Binding	0.932616187
Transcription Factor Binding	0.933191612
Transcription Factor Binding	0.932446165
Transcription Factor Binding	0.932770594
Transcription Factor Binding	0.932894831
Transcription Factor Binding	0.933429063
Transcription Factor Binding	0.932686956
Transcription Factor Binding	0.934666002
Transcription Factor Binding	0.933991251
Transcription Factor Binding	0.933726664
Transcription Factor Binding	0.933861435
Transcription Factor Binding	0.93400746
Transcription Factor Binding	0.934187206
Transcription Factor Binding	0.93438667
Transcription Factor Binding	0.935587641
Transcription Factor Binding	0.933719082
Transcription Factor Binding	0.938752846
Transcription Factor Binding	0.934702961
Transcription Factor Binding	0.93443883
Transcription Factor Binding	0.935068446
Transcription Factor Binding	0.935454081
Transcription Factor Binding	0.936561527
Transcription Factor Binding	0.934347105
Transcription Factor Binding	0.934885226
Transcription Factor Binding	0.935827438
Transcription Factor Binding	0.935311834
Transcription Factor Binding	0.935149317
Transcription Factor Binding	0.934996661
Transcription Factor Binding	0.93770025
Transcription Factor Binding	0.944983918
Transcription Factor Binding	0.938327117
Transcription Factor Binding	0.93407795
Transcription Factor Binding	0.935635598
Transcription Factor Binding	0.936362658
Transcription Factor Binding	0.936038141
Transcription Factor Binding	0.937730834
Transcription Factor Binding	0.936489647
Transcription Factor Binding	0.937018017
Transcription Factor Binding	0.938172898
Transcription Factor Binding	0.936446694
Transcription Factor Binding	0.937246371
Transcription Factor Binding	0.93684135
Transcription Factor Binding	0.93731505
Transcription Factor Binding	0.937126384
Transcription Factor Binding	0.936351242
Transcription Factor Binding	0.937380308
Transcription Factor Binding	0.937666648
Transcription Factor Binding	0.937333111
Transcription Factor Binding	0.936534329
Transcription Factor Binding	0.937791154
Transcription Factor Binding	0.937789165
Transcription Factor Binding	0.937163188
Transcription Factor Binding	0.936920584
Transcription Factor Binding	0.937387289
Transcription Factor Binding	0.938097032
Transcription Factor Binding	0.937770817
Transcription Factor Binding	0.937636981
Transcription Factor Binding	0.937266093
Transcription Factor Binding	0.937877157
Transcription Factor Binding	0.938425154
Transcription Factor Binding	0.936564788
Transcription Factor Binding	0.937806002
Transcription Factor Binding	0.943779447
Transcription Factor Binding	0.938342305
Transcription Factor Binding	0.938119276
Transcription Factor Binding	0.940170662
Transcription Factor Binding	0.938909278
Transcription Factor Binding	0.937995861
Transcription Factor Binding	0.93880119
Transcription Factor Binding	0.93913416
Transcription Factor Binding	0.937677624
Transcription Factor Binding	0.93888674
Transcription Factor Binding	0.940680318
Transcription Factor Binding	0.939521636
Transcription Factor Binding	0.93978971
Transcription Factor Binding	0.938041479
Transcription Factor Binding	0.939671836
Transcription Factor Binding	0.939376318
Transcription Factor Binding	0.938655026
Transcription Factor Binding	0.939842626
Transcription Factor Binding	0.940092543
Transcription Factor Binding	0.938746394
Transcription Factor Binding	0.941855204
Transcription Factor Binding	0.939753505
Transcription Factor Binding	0.939367509
Transcription Factor Binding	0.93956948
Transcription Factor Binding	0.93959377
Transcription Factor Binding	0.938765989
Transcription Factor Binding	0.939609139
Transcription Factor Binding	0.939574286
Transcription Factor Binding	0.940375145
Transcription Factor Binding	0.938955699
Transcription Factor Binding	0.940561541
Transcription Factor Binding	0.940245374
Transcription Factor Binding	0.943459418
Transcription Factor Binding	0.939019371
Transcription Factor Binding	0.941222869
Transcription Factor Binding	0.940780473
Transcription Factor Binding	0.941708107
Transcription Factor Binding	0.940765999
Transcription Factor Binding	0.940450017
Transcription Factor Binding	0.941569151
Transcription Factor Binding	0.939784978
Transcription Factor Binding	0.940305638
Transcription Factor Binding	0.941554107
Transcription Factor Binding	0.941074796
Transcription Factor Binding	0.941584645
Transcription Factor Binding	0.941669392
Transcription Factor Binding	0.939813788
Transcription Factor Binding	0.941686383
Transcription Factor Binding	0.942247103
Transcription Factor Binding	0.941174679
Transcription Factor Binding	0.941391298
Transcription Factor Binding	0.941067518
Transcription Factor Binding	0.942513497
Transcription Factor Binding	0.941733255
Transcription Factor Binding	0.944190639
Transcription Factor Binding	0.941738827
Transcription Factor Binding	0.943653716
Transcription Factor Binding	0.942562204
Transcription Factor Binding	0.942408453
Transcription Factor Binding	0.94211085
Transcription Factor Binding	0.943199358
Transcription Factor Binding	0.944209725
Transcription Factor Binding	0.942776937
Transcription Factor Binding	0.942607791
Transcription Factor Binding	0.943187023
Transcription Factor Binding	0.944579475
Transcription Factor Binding	0.945171833
Transcription Factor Binding	0.942944623
Transcription Factor Binding	0.942848978
Transcription Factor Binding	0.943077665
Transcription Factor Binding	0.942561577
Transcription Factor Binding	0.944004873
Transcription Factor Binding	0.943310479
Transcription Factor Binding	0.944155477
Transcription Factor Binding	0.944262833
Transcription Factor Binding	0.943878094
Transcription Factor Binding	0.944438076
Transcription Factor Binding	0.944490452
Transcription Factor Binding	0.944396104
Transcription Factor Binding	0.944615944
Transcription Factor Binding	0.945195151
Transcription Factor Binding	0.945095541
Transcription Factor Binding	0.945179204
Transcription Factor Binding	0.944757267
Transcription Factor Binding	0.944834695
Transcription Factor Binding	0.94552723
Transcription Factor Binding	0.944365648
Transcription Factor Binding	0.944443787
Transcription Factor Binding	0.944382241
Transcription Factor Binding	0.945467123
Transcription Factor Binding	0.947746661
Transcription Factor Binding	0.946050984
Transcription Factor Binding	0.945546835
Transcription Factor Binding	0.94609336
Transcription Factor Binding	0.944854832
Transcription Factor Binding	0.945985288
Transcription Factor Binding	0.946820346
Transcription Factor Binding	0.948063969
Transcription Factor Binding	0.946788348
Transcription Factor Binding	0.947091436
Transcription Factor Binding	0.946549238
Transcription Factor Binding	0.946856161
Transcription Factor Binding	0.940167352
Transcription Factor Binding	0.944536867
Transcription Factor Binding	0.94670333
Transcription Factor Binding	0.947080306
Transcription Factor Binding	0.946879092
Transcription Factor Binding	0.947887868
Transcription Factor Binding	0.948765058
Transcription Factor Binding	0.947360145
Transcription Factor Binding	0.945781776
Transcription Factor Binding	0.946912535
Transcription Factor Binding	0.947419075
Transcription Factor Binding	0.952363897
Transcription Factor Binding	0.947529126
Transcription Factor Binding	0.94762106
Transcription Factor Binding	0.947762971
Transcription Factor Binding	0.948996461
Transcription Factor Binding	0.947953275
Transcription Factor Binding	0.947974216
Transcription Factor Binding	0.947719819
Transcription Factor Binding	0.949531583
Transcription Factor Binding	0.949088452
Transcription Factor Binding	0.949084336
Transcription Factor Binding	0.949105161
Transcription Factor Binding	0.948511624
Transcription Factor Binding	0.948793974
Transcription Factor Binding	0.949473762
Transcription Factor Binding	0.94807968
Transcription Factor Binding	0.949146057
Transcription Factor Binding	0.953101218
Transcription Factor Binding	0.949134022
Transcription Factor Binding	0.948329269
Transcription Factor Binding	0.94893563
Transcription Factor Binding	0.949769777
Transcription Factor Binding	0.94923586
Transcription Factor Binding	0.948756313
Transcription Factor Binding	0.94863254
